주파수,진동X축,진동Y축,진동Z축
0.0,0.2526855,0.57208215625,0.467224375
0.016666666666666666,0.04441551939850259,0.031000675035610627,0.029561637770243586
0.03333333333333333,0.03759030656328999,0.05135273202846978,0.048700072948858565
0.05,0.019403262452827776,0.017668205461690664,0.028137663006265943
0.06666666666666667,0.06672310688028146,0.03918403203888297,0.044541558568937656
0.08333333333333333,0.0423360569340929,0.028364257496618393,0.03837799361383515
0.1,0.008121740202809197,0.044696622560417364,0.02725504874505316
0.11666666666666667,0.04278625022869729,0.029392344567996304,0.0531007144371124
0.13333333333333333,0.08734640537108554,0.04470107505922196,0.02998062779884522
0.15,0.09110957869508114,0.03606921157785782,0.03766174382889312
0.16666666666666666,0.02410798523446146,0.008161500087214562,0.03731930207779086
0.18333333333333332,0.05286992811310925,0.03149839798118143,0.00965914998574833
0.2,0.01757182960714497,0.031622061971696425,0.017323381541802546
0.21666666666666667,0.05529811873619346,0.038701553378939976,0.02522735792220904
0.23333333333333334,0.08052784059870809,0.04269174111892507,0.03956934358796245
0.25,0.05313118013883934,0.01785699310906976,0.02165961597168326
0.26666666666666666,0.0078125,0.03466796875,0.0048828125
