주파수,진동X축,진동Y축,진동Z축
0.0,0.342,0.6349,0.9102
10.24,0.0926451009668217,0.10211912298445007,0.10472290668638688
20.48,0.024581330774101295,0.0483801537397933,0.08131945850591114
30.72,0.006908604005197018,0.021266166058436006,0.08270904733378755
40.96,0.03135727364808932,0.02630020688484227,0.005911525537666162
51.2,0.008070321877822167,0.018676400023526437,0.007700835841966415
61.44,0.00778373656982357,0.01983605885261915,0.04851482400878616
71.68,0.019645356354382713,0.014855587910063054,0.023894507380195093
81.92,0.009752499329565569,0.012108960803383,0.014432926154151178
92.16,0.005746255488338213,0.01767001781209678,0.02489369991884756
102.4,0.014282769942650859,0.009881911755487683,0.017147792091595615
112.64,0.01210264364952021,0.009868707852267438,0.021936378055631915
122.88,0.002610563875765908,0.015029130368298664,0.023622612592257054
133.12,0.01175625364848931,0.007175112177492428,0.009146792698560441
143.36,0.012396652946217673,0.00891695312589598,0.014489988695825809
153.6,0.0019728876680992985,0.012172342257468383,0.026986410162283717
163.84,0.010217989629406227,0.00594782387541066,0.005637089861259956
174.08,0.010554418120718756,0.00828091658420171,0.0054170130806581495
184.32,0.0029418019563487,0.009302400920772853,0.020366590360932472
194.56,0.007918277092848664,0.005868858037566954,0.005559923915537137
204.8,0.00825838057483109,0.007649679679695601,0.01390286886767413
215.04,0.004037891371844708,0.0065607562388259495,0.0124416547373621
225.28,0.0044612594077473484,0.006352896568391422,0.004185846633265458
235.52,0.006838519880361374,0.006968347036297462,0.011663110966503958
245.76,0.004465270393000884,0.00410845722286527,0.007650279795814621
256.0,0.0013038404810405168,0.006824221567329124,0.002969848480983512
266.24,0.006090328896391486,0.0062719706761214114,0.008367701999326412
276.48,0.0035470414409511804,0.0024385172902326242,0.008889385932062581
286.72,0.0013490882419259804,0.006954182113849312,0.00843063699205882
296.96,0.0048287859459269925,0.00561012262224828,0.005883025489968497
307.2,0.0020451119199959224,0.0026206526013102683,0.008644838135177012
317.44,0.001898971559513738,0.0066223302066367425,0.006771636224824584
327.68,0.0024885468985388175,0.005013702343399604,0.008333807808241115
337.92,0.0012024067894176834,0.0038193882209079937,0.004392195634829576
348.16,0.002252342262059564,0.0058437853853601125,0.005531243570331215
358.40000000000003,0.0013493689461428003,0.0044874700138952065,0.009357197391326916
368.64,0.001306027256970633,0.004802856860662508,0.008854163295130698
378.88,0.00279401966774178,0.004711271865217448,0.0028938444810712107
389.12,0.003240643444493156,0.004019865378515592,0.005040321940784421
399.36,0.0014417834857408762,0.0052216268786749774,0.010981773539833215
409.6,0.003507014439840905,0.003346998774731205,0.004968927172766561
419.84000000000003,0.004420244808537898,0.003601838818878302,0.005069861086905297
430.08,0.000752035773559271,0.005010854925397922,0.006926863425800189
440.32,0.0039055233709381697,0.001887629640243608,0.0037405994263787034
450.56,0.005137872884839354,0.003245666644053802,0.00798403825269017
460.8,0.0009781730340752027,0.004238959660419411,0.00474906842105054
471.04,0.0036681200079227315,0.0007937594241616243,0.0034174636734270163
481.28000000000003,0.005633514313766691,0.0029932271158011935,0.007789830446516416
491.52,0.0023627951581759164,0.003056427783404155,0.00772942769876773
501.76,0.0031598612803752603,0.001674724127200457,0.005486891785908218
512.0,0.005799999999999983,0.0028999999999999916,0.0012000000000000454
