time,vibX,vibY,vibZ
1679531069.8082736,1.732361,-0.389526,-0.563354
1679531069.9841497,1.982361,-0.545776,-0.235229
1679531070.1481948,1.982361,-0.452026,-0.563354
1679531070.3398576,1.232361,-0.514526,-0.547729
1679531070.5285654,0.982361,-0.452026,-0.407104
1679531070.716581,1.482361,0.001099,-0.594604
1679531070.9128797,1.232361,-0.373901,-0.219604
1679531071.1206064,0.982361,-0.358276,-0.563354
1679531071.3085985,1.232361,-0.295776,-0.438354
1679531071.5131214,1.482361,-0.498901,-0.766479
1679531071.6966689,1.482361,-0.389526,-0.657104
1679531071.873195,1.732361,-0.170776,-0.485229
1679531072.0599144,0.982361,-0.123901,-0.375854
1679531072.2360125,1.232361,-0.530151,-0.594604
1679531072.4090111,1.732361,-0.342651,-0.250854
1679531072.59698,1.232361,-0.123901,-0.563354
1679531072.7520456,1.732361,-0.405151,-0.625854
1679531072.9441128,1.482361,-0.186401,-0.172729
1679531073.1390238,1.232361,-0.358215,0.077271
1679531073.308108,1.232361,-0.498901,-0.282104
1679531073.473148,1.732361,-0.311401,-0.750854
1679531073.6453378,1.482361,-0.530151,-0.532104
1679531073.804045,1.732361,-0.577026,-0.610229
1679531073.96855,1.982361,-0.311401,-0.688354
1679531074.1398866,1.232361,-0.155151,-0.266479
1679531074.3123362,1.982361,-0.608276,-0.391479
1679531074.4830492,1.482361,-0.701965,0.092896
1679531074.676314,1.482361,-0.170776,-0.657104
1679531074.8878622,1.732361,-0.155151,-0.641479
1679531075.0599737,1.732361,-0.545776,-0.469604
1679531075.227828,1.482361,-0.373901,-0.516479
1679531075.404987,1.482361,-0.702026,-0.485229
1679531075.6292996,1.482361,-0.623901,-0.313354
1679531075.8160486,1.232361,-0.452026,-0.532104
1679531076.020053,1.482361,-0.733276,-0.907104
1679531076.2478776,0.982361,-0.498901,-0.094604
1679531076.4960618,1.732361,-0.295776,-0.407104
1679531076.733471,1.732361,-0.045776,-0.422729
1679531076.9491,1.732361,-0.327026,-0.203979
1679531077.1250014,1.732361,-0.139526,-0.594604
1679531077.29703,1.982361,-0.342651,-0.203979
1679531077.4521492,1.732361,-0.311401,-0.578979
1679531077.61686,1.732361,-0.483276,-0.407104
1679531077.7799232,1.982361,-0.452026,-0.250854
1679531078.0040307,1.482361,-0.436401,-0.188354
1679531078.1841276,1.232361,-0.420776,-0.266479
1679531078.344237,1.482361,-0.420776,-0.250854
1679531078.5252495,1.232361,-0.108276,-0.282104
1679531078.7336206,1.482361,-0.311401,-0.485229
1679531078.9161172,1.482361,-0.280151,-0.328979
